"","x"
"b_Intercept",164.184976279111
"b_Lambda:option_chosenll",-0.718818905459018
"b_Lambda:option_chosenss",2.01541531966156
"sd_subj_id__Intercept",70.2890607318685
"sd_subj_id__option_chosenss",66.8468780527063
"cor_subj_id__Intercept__option_chosenss",-0.583506609489349
"sigma",60.3196732839242
"temp_Intercept",165.35029988613
"r_subj_id[1322,Intercept]",5.26099176417251
"r_subj_id[1402,Intercept]",34.5452904267761
"r_subj_id[1408,Intercept]",52.363803747014
"r_subj_id[1474,Intercept]",118.763439789095
"r_subj_id[1879,Intercept]",170.129424370055
"r_subj_id[2045,Intercept]",-92.8046968878892
"r_subj_id[2249,Intercept]",-21.6068057457935
"r_subj_id[2261,Intercept]",-61.8707063255477
"r_subj_id[2752,Intercept]",-102.580446552311
"r_subj_id[2758,Intercept]",-0.969562674603112
"r_subj_id[3713,Intercept]",-3.69816462075001
"r_subj_id[3720,Intercept]",21.3804322372531
"r_subj_id[4037,Intercept]",65.3631221246221
"r_subj_id[4413,Intercept]",5.89847392754559
"r_subj_id[4422,Intercept]",60.5045017896455
"r_subj_id[4441,Intercept]",42.2837243168048
"r_subj_id[5181,Intercept]",72.9916178803761
"r_subj_id[5390,Intercept]",19.5300810087172
"r_subj_id[5399,Intercept]",-19.4057624020382
"r_subj_id[5571,Intercept]",-27.623157845436
"r_subj_id[5752,Intercept]",9.41025982126727
"r_subj_id[5778,Intercept]",-15.3946387687375
"r_subj_id[5781,Intercept]",6.81920402955264
"r_subj_id[5813,Intercept]",23.9722204853856
"r_subj_id[5950,Intercept]",-25.2769606050075
"r_subj_id[5953,Intercept]",16.8523314972779
"r_subj_id[5966,Intercept]",-23.1504742851804
"r_subj_id[5985,Intercept]",52.7485819406542
"r_subj_id[6022,Intercept]",-3.02185730477184
"r_subj_id[6076,Intercept]",52.455335512852
"r_subj_id[6131,Intercept]",42.9134658925183
"r_subj_id[6147,Intercept]",-11.8614745367414
"r_subj_id[6179,Intercept]",-40.450034633878
"r_subj_id[6306,Intercept]",-45.9472644911176
"r_subj_id[6343,Intercept]",-41.7467281158996
"r_subj_id[6573,Intercept]",5.66626486347916
"r_subj_id[6688,Intercept]",-21.8222996455074
"r_subj_id[6703,Intercept]",-1.65192361590528
"r_subj_id[6920,Intercept]",-15.8208447578023
"r_subj_id[7331,Intercept]",199.890155657562
"r_subj_id[7500,Intercept]",-6.36749043841819
"r_subj_id[7502,Intercept]",-267.876194208008
"r_subj_id[7921,Intercept]",23.7902405371738
"r_subj_id[7993,Intercept]",-2.17261333334811
"r_subj_id[7998,Intercept]",43.9275162658078
"r_subj_id[8044,Intercept]",-45.5646705543638
"r_subj_id[8946,Intercept]",45.4451173616706
"r_subj_id[9155,Intercept]",53.0648610402533
"r_subj_id[9709,Intercept]",35.7941675151782
"r_subj_id[9711,Intercept]",-17.3547060959254
"r_subj_id[9792,Intercept]",63.4673520302274
"r_subj_id[9864,Intercept]",-6.12286373671988
